smiles,Group
COC1=C(OC)C(=CC(=C1)C(O)C1=NC2=C(N1)C=CC=C2)[N+]([O-])=O,0
CN(CC(N=[N+]=[N-])=O)[N+]([O-])=O,0
CC1=CN([C@H]2CC[C@@](CO)(O2)N=[N+]=[N-])C(=O)NC1=O,0
O=[N+](C1=NON=C1C([N+]([O-])=O)[N+]([O-])=O)[O-],0
O=[N+](C1=NON=C1N[N+]([O-])=O)[O-],0
[O-]/[N+](C1=NON=C1N[N+]([O-])=O)=N\C2=NON=C2N[N+]([O-])=O,0
[N-]=[N+]=NC(=O)C1C2=CC=CC=C2OC2=C1C=CC=C2,0
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)C1=NN(C([N+]([O-])=O)[N+]([O-])=O)N=N1)[O-],0
N/C(NO)=C([N+]([O-])=O)/[N+]([O-])=O,0
[H]C([N+]([O-])=O)([N+]([O-])=O)C1=NC(/N=N/C2=NNC(C([H])([N+]([O-])=O)[N+]([O-])=O)=N2)=NN1,0
OCCC1=C(CO)C=C(C=C1)[N+]([O-])=O,0
CCCC1=C(OCCCOC2=CC=CC(NC(=O)C3=NN=NN3)=C2C#N)C=CC(C(C)=O)=C1O,0
O=C(N=[N+]=[N-])CCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,0
NC1=[NH+]N=NN1/N=[N+]([O-])/[O-],0
O=[N+](C([N+]([O-])=O)C1=NN=C(C([N+]([O-])=O)[N+]([O-])=O)O1)[O-],0
CN[N+]([O-])=O,0
CC(C)C1CC(NC(=O)OC(C)(C)C)(NN1)C(=O)OCC1=CC=C(C=C1)[N+]([O-])=O,0
O=[N+](C([N+]([O-])=O)C1=NN(C([N+]([O-])=O)[N+]([O-])=O)N=N1)[O-],0
OC(=O)CCCCCN1C(=O)C2=CC=CC(N=[N+]=[N-])=C2C1=O,0
O=C(CN(CC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O)N=[N+]=[N-],0
CN1C(=O)C(C)(C)C2=CC(COC(=O)N3CCN(C[C@@]4(C)CN5C=C(N=C5O4)[N+]([O-])=O)CC3)=CC=C12,0
[O-]/[N+](C1=NON=C1N[N+]([O-])=O)=N/C2=NON=C2N[N+]([O-])=O,0
