smiles,min_bde_pred,Group
COC1=C(OC)C(=CC(=C1)C(O)C1=NC2=C(N1)C=CC=C2)[N+]([O-])=O,12.191006,0
CN(CC(N=[N+]=[N-])=O)[N+]([O-])=O,75.28609,0
CC1=CN([C@H]2CC[C@@](CO)(O2)N=[N+]=[N-])C(=O)NC1=O,35.43225,0
O=[N+](C1=NON=C1C([N+]([O-])=O)[N+]([O-])=O)[O-],66.49957,0
O=[N+](C1=NON=C1N[N+]([O-])=O)[O-],70.325516,0
[O-]/[N+](C1=NON=C1N[N+]([O-])=O)=N\C2=NON=C2N[N+]([O-])=O,70.1714,0
[N-]=[N+]=NC(=O)C1C2=CC=CC=C2OC2=C1C=CC=C2,15.667329,0
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)C1=NN(C([N+]([O-])=O)[N+]([O-])=O)N=N1)[O-],69.43129,0
N/C(NO)=C([N+]([O-])=O)/[N+]([O-])=O,74.268555,0
[H]C([N+]([O-])=O)([N+]([O-])=O)C1=NC(/N=N/C2=NNC(C([H])([N+]([O-])=O)[N+]([O-])=O)=N2)=NN1,70.89674,0
OCCC1=C(CO)C=C(C=C1)[N+]([O-])=O,14.506442,0
CCCC1=C(OCCCOC2=CC=CC(NC(=O)C3=NN=NN3)=C2C#N)C=CC(C(C)=O)=C1O,7.6853185,0
O=C(N=[N+]=[N-])CCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,60.590496,0
NC1=[NH+]N=NN1/N=[N+]([O-])/[O-],77.238304,0
O=[N+](C([N+]([O-])=O)C1=NN=C(C([N+]([O-])=O)[N+]([O-])=O)O1)[O-],72.454315,0
CN[N+]([O-])=O,77.23611,0
CC(C)C1CC(NC(=O)OC(C)(C)C)(NN1)C(=O)OCC1=CC=C(C=C1)[N+]([O-])=O,18.748371,0
O=[N+](C([N+]([O-])=O)C1=NN(C([N+]([O-])=O)[N+]([O-])=O)N=N1)[O-],69.400375,0
OC(=O)CCCCCN1C(=O)C2=CC=CC(N=[N+]=[N-])=C2C1=O,30.375935,0
O=C(CN(CC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O)N=[N+]=[N-],75.230896,0
CN1C(=O)C(C)(C)C2=CC(COC(=O)N3CCN(C[C@@]4(C)CN5C=C(N=C5O4)[N+]([O-])=O)CC3)=CC=C12,26.64952,0
[O-]/[N+](C1=NON=C1N[N+]([O-])=O)=N/C2=NON=C2N[N+]([O-])=O,70.1714,0
C(OC1=CC(OCC2=NC3=CC=CC=C3C=C2)=CC=C1)C1=CC=C(C=C1)C1=NN=NN1,14.873255,0
[O-][N+]1=C(C2=[N+]([O-])ON=C2N[N+]([O-])=O)C(N[N+]([O-])=O)=NO1,70.75894,0
OC(=O)N(CCC1=CC=C(OCC2=NN=NN2)C=C1)OCC1=CC=CC=C1,20.689295,0
CCCCCC1=C(N(C(C)=O)C2=CC=CC=C12)C1=CC2=CC=C(OCC3=NN=NN3)C=C2C=C1,3.316915,0
CCCCCC1=C(N(CC2=CC=C(C=C2)C(C)(C)C)C2=CC=CC=C12)C1=CC2=CC=C(OCC3=NN=NN3)C=C2C=C1,3.310048,0
