smiles,Group,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
COC1=C(OC)C(=CC(=C1)C(O)C1=NC2=C(N1)C=CC=C2)[N+]([O-])=O,0,11.90010159,-3.48441688,11.90010159,0.121601356,0.549615508,329.312,314.192,329.1011706,124,0,0.314759496,-0.492570126,0.492570126,0.314759496,1.208333333,2,2.75,12.0317447,-0.245535627,0.326905977,-2.35099646,0.377300053,-2.322619253,2.804406834,-0.946572697,2.542322781,1502.283814,29.98868116,26.38288224,11.38288224,17.67426281,13.35926497,6.003803087,4.166640355,4.166640355,2.804105647,2.804105647,1.804147196,1.804147196,-3.13,104976526.5,5.745496614,6.16753005,2.629627,157.5873809,19.55953737,11.90442252,7.161353912,7.180711491,0,5.687386275,10.11431827,4.983978521,0,0,12.08483742,23.69070761,6.042418708,47.85247863,38.73754846,16.72078771,1.431199657,9.960981791,0,6.080018027,14.07590492,57.7566865,0,11.49902367,9.473725908,5.687386275,11.49902367,0,35.50020561,0,10.11431827,35.28773525,36.25451225,1.411842078,11.03340144,0,110.51,100.9414136,10.11431827,0,4.97700327,0,0,0,0,0,19.56651262,20.66290297,125.7928106,0,14.3873185,16.26936663,-4.144020727,-4.004000097,-6.027822115,-3.394522274,0,-6.962463896,0.1875,24,2,8,0,0,0,2,1,3,6,2,8,8,0,0,0,3,2.57,86.3559,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN(CC(N=[N+]=[N-])=O)[N+]([O-])=O,0,10.86583333,-3.554583333,10.86583333,0.891851852,0.188591259,159.105,154.065,159.039239,60,0,0.243530704,-0.290316137,0.290316137,0.243530704,2,2.636363636,3,14.22598337,-0.243220967,2.78E-17,-2.375584435,0.036456587,-2.615715177,3.286981981,-1.020270269,5.454776464,358.8109802,13.14626437,9.960812849,4.960812849,7.046764616,4.59009291,2.09009291,1.156036997,1.156036997,0.500390751,0.500390751,0.194398475,0.194398475,-1.82,1211.643756,3.536050576,4.069177516,3.707190397,68.17217729,0,6.496859684,5.032313842,5.907179729,0,0,4.794537184,10.11431827,0,5.008912524,0,10.64537912,4.911711647,13.82961968,16.68064381,5.907179729,0,5.008912524,5.114250126,0,13.47268658,20.55715891,0,0,0,0,0,0,29.42109268,4.794537184,10.11431827,6.853792781,5.114250126,0,10.44284065,0,112.21,29.42109268,14.90885545,0,0,0,0,0,0,4.911711647,5.114250126,12.38492178,33.98430083,0,23.14003874,10.13835648,7.865029762,-1.914050926,0,0,-7.04700822,0,0.666666667,11,0,8,0,0,0,0,0,0,3,0,8,4,0,0,0,0,-0.0532,33.7774,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC1=CN([C@H]2CC[C@@](CO)(O2)N=[N+]=[N-])C(=O)NC1=O,0,12.54888298,-3.955248961,12.54888298,0.504361772,0.457750548,267.245,254.141,267.0967539,102,0,0.32995854,-0.393230156,0.393230156,0.32995854,1.736842105,2.578947368,3.263157895,11.97442185,-0.243608353,1.62E-17,-2.526960277,0.100910062,-2.725541945,2.055887464,-1.007038109,2.95599011,945.8783908,25.29252874,21.86906114,8.869061139,14.21517847,10.8677234,4.512261513,3.114481209,3.114481209,1.936171758,1.936171758,1.14367769,1.14367769,-2.09,2584508.716,4.480081935,4.88425209,2.387226514,126.4060492,9.845671145,6.20395281,7.136827672,1.431199657,5.907179729,6.031114512,15.00426027,4.794537184,0,0,5.114250126,25.12887092,26.2561326,12.04201947,35.92493171,11.93829424,1.431199657,10.20972308,5.114250126,31.52668032,6.558985243,22.19195171,0,0,5.309813353,4.794537184,0,0,41.86613547,9.531400138,0,34.67608604,16.86336118,1.411842078,10.44284065,0,127.63,71.98279395,9.589074368,0,0,0,0,0,0,0,15.13476996,28.18937781,105.2076296,0,26.28609698,5.797052246,3.472893118,-1.812454898,-2.021513605,-13.48610214,-7.276934642,0,0.6,19,2,9,0,2,2,0,0,0,5,2,9,5,0,1,1,2,0.5774,62.2045,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O=[N+](C1=NON=C1C([N+]([O-])=O)[N+]([O-])=O)[O-],0,10.38027778,-3.719837963,10.38027778,1.275671296,0.368405515,219.069,218.061,218.9875974,80,0,0.504528665,-0.357642749,0.504528665,0.357642749,1.2,1.733333333,2.133333333,16.63897632,-0.083226877,1.973774039,-2.076244669,1.819745165,-2.339440408,4.26952483,-0.965456522,3.443534775,454.3422842,12.50807169,7.593806011,6.593806011,7.313290267,3.578627475,3.078627475,2.031373592,2.031373592,1.201822177,1.201822177,0.684196049,0.684196049,-2.66,3211.363905,8.917222633,3.604586646,1.815955089,80.29658074,10.11431827,9.846622098,5.156663257,1.370758556,0,17.65361802,20.22863654,0,0,4.629038937,0,10.07997431,0,0,20.76973064,5.817862778,0,10.31332651,0,6.141827251,0,36.0368828,0,0,0,5.817862778,0,0,25.08325966,0,30.34295481,13.2065138,4.629038937,0,0,0,168.34,32.42355117,30.34295481,0,0,0,0,0,0,0,14.94236545,1.370758556,10.73965278,0,26.46766204,36.33576389,-1.395833333,-1.344074074,0,-3.719837963,0,0,0.333333333,15,0,12,0,0,0,0,1,1,9,0,12,4,0,0,0,1,-0.4702,37.6822,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=[N+](C1=NON=C1N[N+]([O-])=O)[O-],0,10.12037037,-1.215740741,10.12037037,0.408101852,0.482320575,175.06,174.052,174.9977681,64,0,0.464134457,-0.35759764,0.464134457,0.35759764,1.5,2.166666667,2.666666667,16.63800959,-0.070805159,1.780185244,-2.008238431,1.568643911,-2.261339752,4.329332126,-0.64718809,3.069233218,348.4488743,10.00807169,6.27730943,5.27730943,6.03658126,2.887085902,2.439872306,1.50638214,1.50638214,0.803894178,0.803894178,0.434703175,0.434703175,-2.26,903.543024,6.450201166,2.773447112,1.419225147,64.85671774,10.11431827,0,10.1889771,1.411842078,0,11.63572556,0,10.11431827,0,4.629038937,5.418816146,4.923311049,5.156663257,0,15.99650591,11.63572556,0,10.31332651,0,0,5.418816146,20.22863654,0,0,5.418816146,11.63572556,0,0,20.2689514,0,20.22863654,0,4.629038937,1.411842078,0,0,137.23,27.01016659,20.22863654,0,0,0,0,0,0,0,14.94236545,1.411842078,10.55638889,0,19.0600463,24.48453704,-0.408101852,-1.859537037,0,0,0,0,0,12,1,10,0,0,0,0,1,1,7,1,10,3,0,0,0,1,-0.4186,31.5695,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[O-]/[N+](C1=NON=C1N[N+]([O-])=O)=N\C2=NON=C2N[N+]([O-])=O,0,11.76156085,-1.251752401,11.76156085,0.389936461,0.299050339,302.123,300.107,302.0107924,110,0,0.448155154,-0.690255359,0.690255359,0.448155154,1,1.571428571,2.238095238,16.57640624,-0.071680021,1.789681726,-2.05420973,1.622765476,-2.264465491,4.409371388,-0.647730241,2.393001339,770.8574422,17.14589989,11.32987399,9.329873988,10.82427496,5.426449246,4.532022055,2.871481461,2.871481461,1.628650777,1.628650777,0.956280611,0.956280611,-3.92,151967.4201,10.95298614,5.376176936,3.097580736,113.4381967,5.207253025,0,15.22129094,2.823684157,11.63572556,11.63572556,0,24.85767547,0,9.489718183,15.95188242,10.31332651,5.156663257,0,27.00706896,23.27145111,0,20.62665303,5.114250126,0,10.83763229,25.43588956,0,0,10.83763229,23.27145111,0,0,35.55195996,0,25.43588956,0,14.372328,2.823684157,0,0,226.61,43.61557419,25.43588956,0,5.418816146,0,0,0,0,0,34.99898103,2.823684157,22.25448394,0,20.45079329,45.29729274,-0.818484033,-3.51741927,0,0,0,0,0,21,2,17,0,0,0,0,2,2,12,2,17,6,0,0,0,2,-0.4145,55.2056,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[N-]=[N+]=NC(=O)C1C2=CC=CC=C2OC2=C1C=CC=C2,0,12.59604497,-2.873101852,12.59604497,0.652758881,0.439261099,251.245,242.173,251.0694765,92,0,0.230532964,-0.456724704,0.456724704,0.230532964,1.105263158,1.631578947,2.157894737,12.8634115,-0.092706717,0.635233601,-2.407854975,0.711041212,-2.324745082,3.030716104,-0.466357006,2.607841752,1059.005982,21.12687384,18.15813737,9.158137367,12.99402948,9.485979233,4.985979233,3.379905647,3.379905647,2.359722023,2.359722023,1.638762897,1.638762897,-2.78,1145089.63,5.071120297,4.476601857,1.820942353,121.2660743,4.736862954,11.49902367,0,5.907179729,0,0,4.794537184,0,0,0,36.25451225,22.73021654,17.40937319,16.86002613,21.86822714,5.907179729,0,0,5.114250126,5.893957685,0,69.90909329,0,11.49902367,4.736862954,0,11.49902367,0,5.907179729,4.794537184,0,29.35768767,53.45359979,0,10.44284065,0,75.06,82.76641373,4.794537184,0,0,0,0,0,0,0,10.02596177,22.60481896,77.31157216,0,14.91267369,2.856804611,7.242896694,-5.710229592,-6.197050894,0,0,0,0.071428571,19,0,5,0,1,1,2,0,2,2,0,5,1,0,0,0,3,3.7611,68.954,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)C1=NN(C([N+]([O-])=O)[N+]([O-])=O)N=N1)[O-],0,10.72206916,-4.410359977,10.72206916,0.756365741,0.288255559,323.094,322.086,322.9846372,118,0,0.766443097,-0.256783081,0.766443097,0.256783081,0.863636364,1.272727273,1.590909091,16.68597185,-0.083144909,2.530703594,-2.096603075,2.144505951,-2.509847445,4.299186716,-0.991409924,3.658944451,674.8747781,18.16277223,10.60740526,9.607405264,10.4272218,4.96459624,4.46459624,3.123451358,3.123451358,1.982850096,1.982850096,1.091003147,1.091003147,-3.93,65790.94691,14.47850794,5.216451947,2.163679726,115.814573,0,9.846622098,14.76993315,1.370758556,0,17.87696135,50.57159134,0,0,5.098681808,5.098681808,10.00989132,0,0,25.9873138,0,0,20.20725493,0,12.05255685,0,56.39599584,0,0,0,0,0,0,44.82381018,5.786794818,50.57159134,13.46092509,0,0,0,0,259.3,47.29002282,50.57159134,0,0,0,0,0,0,0,15.41074871,1.370758556,7.001173469,0,42.67868622,60.91229025,0,-6.329040533,0,-4.096442744,0,0,0.666666667,22,0,19,0,0,0,0,1,1,14,0,19,7,0,0,0,1,-2.377,53.504,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
N/C(NO)=C([N+]([O-])=O)/[N+]([O-])=O,0,10.19313114,-1.817361111,10.19313114,0.512962963,0.343240186,164.077,160.045,164.0181692,62,0,0.600766649,-0.372137043,0.600766649,0.372137043,1.545454545,2.090909091,2.363636364,15.998,-0.140210938,0.682242237,-2.227883643,0.626444567,-2.561091647,3.366091961,-0.898198831,5.558518267,289.4071542,12.1712084,8.830095834,4.830095834,6.823473623,3.807187197,2.05729812,1.252720259,1.252720259,0.632341878,0.632341878,0.270790812,0.270790812,-1.9,1103.679227,4.077938665,3.314024836,2.058609385,65.23928884,5.719716976,9.846622098,4.235526235,1.431199657,5.820974096,5.820974096,25.43817036,5.473121347,0,0,0,0,0,0,20.72288181,0,0,5.473121347,5.719716976,0,0,31.87058473,0,0,11.19283832,0,0,0,15.05615592,0,20.22863654,0,11.64194819,5.666725892,0,0,144.56,32.68140861,20.22863654,0,0,0,0,0,0,0,5.209533821,5.666725892,26.06201247,0,17.37033636,23.74274376,-1.093842593,-3.247916667,0,0,0,0,0,11,4,9,0,0,0,0,0,0,7,3,9,5,0,0,0,0,-1.3961,30.1244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[H]C([N+]([O-])=O)([N+]([O-])=O)C1=NC(/N=N/C2=NNC(C([H])([N+]([O-])=O)[N+]([O-])=O)=N2)=NN1,0,10.83473812,-3.806607623,10.83473812,0.246823175,0.254913241,372.174,368.142,372.0275051,136,0,0.508627465,-0.258131075,0.508627465,0.258131075,0.807692308,1.115384615,1.384615385,15.998229,-0.08410238,1.309146022,-2.106516009,1.299358851,-2.355022898,3.876640329,-0.967908447,2.437899056,982.4047078,23.01614338,15.63254947,11.63254947,13.75470307,7.585515846,5.691088655,3.746473129,3.746473129,2.200763998,2.200763998,1.28658828,1.28658828,-4.52,2346791.454,12.84867133,6.933251571,3.686581761,143.2468775,0,19.6932442,2.823684157,2.741517112,23.54548756,12.2836545,40.45727308,10.18341312,9.967957042,20.42586387,0,0,0,0,25.25844546,11.89667856,0,30.34873377,10.22850025,12.2836545,0,52.10608207,0,0,0,11.89667856,0,0,50.04197797,0,40.45727308,26.67398061,10.22850025,2.823684157,0,0,280.42,55.52238626,40.45727308,0,10.18341312,0,0,0,0,0,30.39382091,5.565201269,29.1814895,0,42.96720853,55.32212421,0,-4.690940335,0,-7.613215247,0,0,0.333333333,26,2,20,0,0,0,0,2,2,14,2,20,8,0,0,0,2,-0.5578,70.401,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,10,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
